source class,source id,target class,target id,relation,relation attribute,note,remark,S_check,T_Check
Entry,E008702,Place,만일동,mentions,,,,O,O
Entry,E008704,Temple,순창 법운암,mentions,,,,O,O
Entry,E008704,Monk,기,mentions,,,,O,O
Entry,E008704,Monk,우,mentions,,,,O,O
Entry,E008704,Monk,총,mentions,,,,O,O
Entry,E008704,Monk,혜,mentions,,,,O,O
Entry,E008704,Monk,정,mentions,,,,O,O
Entry,E008704,Event,설담이 다섯 승려의 배웅을 받아 떠남,mentions,,,,O,O
Entry,E008705,Place,두곡,mentions,,,,O,O
Entry,E008706,Temple,정읍 상두사,mentions,,,,O,O
Entry,E008706,Temple,두월 묵안,mentions,,,,O,O
Entry,E008706,Temple,완주 화암사,mentions,,,,O,O
Entry,E008706,Event,설담이 두월 묵안을 만남,mentions,,,,O,O
Entry,E008707,Temple,김제 금산사,mentions,,,,O,O
Entry,E008707,Monk,금파,mentions,,,,O,O
Entry,E008707,Monk,연파 성활,mentions,,,,O,O
Entry,E008707,Monk,세환,mentions,,,,O,O
Entry,E008707,Monk,야학,mentions,,,,O,O
Entry,E008707,Temple,망휴암,mentions,,,,O,O
Entry,E008707,Temple,망휴암 장륙전,mentions,,,,O,O
Entry,E008707,Event,설담이 하안거를 지냄_1,mentions,,,,O,O
Entry,E008708,Temple,김제 금산사 송대,mentions,,,,O,O
Entry,E008708,Temple,감로암,mentions,,,,O,O
Entry,E008708,Monk,낙파 회랭,mentions,,,,O,O
Entry,E008708,Event,설담이 낙파 회랭을 만남,mentions,,,,O,O
Entry,E008709,Temple,감로암 비전,mentions,,,,O,O
Entry,E008709,Temple,은격암,mentions,,,,O,O
Entry,E008709,Monk,벽월 우일,mentions,,,,O,O
Entry,E008709,Monk,두월 묵안,mentions,,,,O,O
Entry,E008709,Event,설담이 벽월 우일을 만남,mentions,,,,O,O
Entry,E008710,Place,국사봉,mentions,,,,O,O
Entry,E008710,Place,지리산,mentions,,,,O,O
Entry,E008710,Place,변산,mentions,,,,O,O
Entry,E008710,Place,종남산,mentions,,,,O,O
Entry,E008710,Place,무등산,mentions,,,,O,O
Entry,E008710,Place,추줄산,mentions,,,,O,O
Entry,E008710,Place,운주산,mentions,,,,O,O
Entry,E008710,Place,회문산,mentions,,,,O,O
Entry,E008710,Place,두승산,mentions,,,,O,O
Entry,E008711,Place,완부시,mentions,,,,O,O
Entry,E008711,Monk,두월 묵안,mentions,,,,O,O
Entry,E008712,Place,완부치첩,mentions,,,,O,O
Entry,E008712,Place,전주 경기전,mentions,,,,O,O
Entry,E008712,Event,설담이 두월 묵안과 경기전을 구경함,mentions,,,,O,O
Entry,E008713,Place,완부 서문,mentions,,,,O,O
Entry,E008714,Place,양정포,mentions,,,,O,O
Entry,E008715,Place,옥포역,mentions,,,,O,O
Entry,E008715,Place,구좌리,mentions,,,,O,O
Entry,E008717,Temple,완주 화암사,mentions,,,,O,O
Entry,E008717,Monk,원효,mentions,,,,O,O
Entry,E008717,Monk,의상,mentions,,,,O,O
Entry,E008717,Monk,윤필,mentions,,,,O,O
Entry,E008717,Anecdote,원효암·의상암·윤필암 일화,mentions,,,,O,O
Entry,E008718,Temple,완주 화암사 우화루,mentions,,,,O,O
Entry,E008718,Monk,원효,mentions,,,,O,O
Entry,E008718,Monk,의상,mentions,,,,O,O
Entry,E008718,Monk,윤필,mentions,,,,O,O
Entry,E008718,Person,성달생,mentions,,,,O,O
Entry,E008718,Object,관음상,mentions,,,,O,O
Entry,E008718,Event,설담이 우화루 관음상에 참배함,mentions,,,,O,O
Entry,E008718,Object,삼세여래상,mentions,,,,O,O
Entry,E008718,Anecdote,성달생 일화,mentions,,,,O,O
Entry,E008719,Temple,완주 화암사 향각,mentions,,,,O,O
Entry,E008719,Monk,도희,mentions,,,,O,O
Entry,E008719,Monk,대순,mentions,,,,O,O
Entry,E008719,Monk,두월 묵안,mentions,,,,O,O
Entry,E008719,Event,설담이 도희와 대순을 만남,mentions,,,,O,O
Entry,E008720,Temple,완주 화암사 의상암,mentions,,,,O,O
Entry,E008720,Temple,완주 화암사 윤필암,mentions,,,,O,O
Entry,E008720,Monk,춘파 상운,mentions,,,,O,O
Entry,E008720,Monk,금하 광훈,mentions,,,,O,O
Entry,E008720,Temple,순창 법운암,mentions,,,,O,O
Entry,E008720,Event,설담이 금하 광훈에게 다과를 대접받음,mentions,,,,O,O
Entry,E008721,Temple,완주 화암사 향각,mentions,,,,O,O
Entry,E008722,Monk,춘파 상운,mentions,,,,O,O
Entry,E008722,Temple,완주 화암사 신실,mentions,,,,O,O
Entry,E008722,Event,설담이 춘파 상운의 배웅을 받아 떠남,mentions,,,,O,O
Entry,E008723,Monk,대순,mentions,,,,O,O
Entry,E008723,Temple,완주 안심사,mentions,,,,O,O
Entry,E008723,Temple,완주 안심사 사리각,mentions,,,,O,O
Entry,E008724,Temple,완주 안심사 적설루,mentions,,,,O,O
Entry,E008725,Temple,완주 안심사 향각,mentions,,,,O,O
Entry,E008725,Monk,종연,mentions,,,,O,O
Entry,E008725,Event,설담이 세조 친필을 감상함,mentions,,,,O,O
Entry,E008725,Event,설담이 종연을 만남,mentions,,,,O,O
Entry,E008726,Temple,완주 안심사 한산전,mentions,,,,O,O
Entry,E008726,Temple,완주 백운암,mentions,,,,O,O
Entry,E008727,Temple,득모암,mentions,,,,O,O
Entry,E008727,Person,손순목,mentions,,,,O,O
Entry,E008727,Person,유복통,mentions,,,,O,O
Entry,E008727,Anecdote,손순목 일화,mentions,,,,O,O
Entry,E008728,Place,만경대,mentions,,,,O,O
Entry,E008729,Temple,행도암,mentions,,,,O,O
Entry,E008730,Place,마정령,mentions,,,,O,O
Entry,E008730,Temple,중봉암,mentions,,,,O,O
Entry,E008731,Temple,허통암,mentions,,,,O,O
Entry,E008731,Place,마천대,mentions,,,,O,O
Entry,E008733,Temple,완주 대둔암,mentions,,,,O,O
Entry,E008733,Monk,성월 천일,mentions,,,,O,O
Entry,E008733,Monk,낙서 사운,mentions,,,,O,O
Entry,E008733,Monk,자인,mentions,,,,O,O
Entry,E008733,Monk,원효,mentions,,,,O,O
Entry,E008733,Monk,의상,mentions,,,,O,O
Entry,E008733,Monk,윤필,mentions,,,,O,O
Entry,E008733,Event,설담이 성월 천일을 만남,mentions,,,,O,O
Entry,E008733,Anecdote,자인 대사 일화,mentions,,,,O,O
Entry,E008734,Monk,두월 묵안,mentions,,,,O,O
Entry,E008734,Temple,완주 대둔암,mentions,,,,O,O
Entry,E008734,Temple,영암 도갑사,mentions,,,,O,O
Entry,E008734,Monk,설봉 회정,mentions,,,,O,O
Entry,E008734,Person,김담,mentions,,,,O,O
Entry,E008734,Person,김복현,mentions,,,,O,O
Entry,E008734,Temple,대은암,mentions,,,,O,O
Entry,E008734,Event,설봉 회정의 다비식,mentions,,,,O,O
Entry,E008734,Event,설담이 하안거를 지냄_2,mentions,,,,O,O
Entry,E008735,Temple,완주 대둔암,mentions,,,,O,O
Entry,E008735,Temple,대은암,mentions,,,,O,O
Entry,E008735,Person,맹명씨,mentions,,,,O,O
Entry,E008735,Event,설담이 맹명씨를 만남,mentions,,,,O,O
Entry,E008737,Place,진산읍,mentions,,,,O,O
Entry,E008738,Place,천등산,mentions,,,,O,O
Entry,E008739,Temple,완주 신흥사,mentions,,,,O,O
Entry,E008739,Monk,서봉 명색,mentions,,,,O,O
Entry,E008739,Event,설담이 서봉 명색을 만남,mentions,,,,O,O
Entry,E008740,Temple,운문사,mentions,,,,O,O
Entry,E008741,Temple,운문사 서굴,mentions,,,,O,O
Entry,E008741,Monk,반룡 처원,mentions,,,,O,O
Entry,E008741,Event,설담이 반룡 처원과 차담을 나눔,mentions,,,,O,O
Entry,E008742,Temple,운문사,mentions,,,,O,O
Entry,E008743,Temple,내둔암,mentions,,,,O,O
Entry,E008743,Object,사오로 화상,mentions,,,,O,O
Entry,E008743,Event,설담이 사오로 화상을 구경함,mentions,,,,O,O
Entry,E008744,Place,위봉성 동문,mentions,,,,O,O
Entry,E008745,Temple,북암,mentions,,,,O,O
Entry,E008745,Monk,채근,mentions,,,,O,O
Entry,E008745,Event,설담이 채근을 만남,mentions,,,,O,O
Entry,E008747,Temple,완주 송광사 관음전,mentions,,,,O,O
Entry,E008747,Monk,청파 혜원,mentions,,,,O,O
Entry,E008747,Monk,긍현,mentions,,,,O,O
Entry,E008747,Monk,인일,mentions,,,,O,O
Entry,E008747,Event,설담이 청파 혜원과 긍현을 만남,mentions,,,,O,O
Entry,E008748,Place,삼천,mentions,,,,O,O
Entry,E008749,Place,시산,mentions,,,,O,O
Entry,E008749,Person,박영,mentions,,,,O,O
Entry,E008749,Event,설담이 박영의 집에 방문함,mentions,,,,O,O
Entry,E008750,Place,피향정,mentions,,,,O,O
Entry,E008750,Event,설담이 피향정의 시를 감상함,mentions,,,,O,O
Entry,E008751,Place,고부 마항리,mentions,,,,O,O
Entry,E008751,Person,김유옥,mentions,,,,O,O
Entry,E008751,Event,설담이 김유옥과 그 문하를 방문함,mentions,,,,O,O
Entry,E008752,Temple,부안 개암사,mentions,,,,O,O
Entry,E008752,Place,변산,mentions,,,,O,O
Entry,E008752,Monk,한계 성순,mentions,,,,O,O
Entry,E008752,Event,설담이 한계 성순을 만남,mentions,,,,O,O
Entry,E008753,Temple,부안 도솔암,mentions,,,,O,O
Entry,E008753,Place,지리산,mentions,,,,O,O
Entry,E008753,Monk,흥파 지순,mentions,,,,O,O
Entry,E008753,Event,흥파 지순의 죽음,mentions,,,,O,O
Entry,E008754,Temple,우금굴,mentions,,,,O,O
Entry,E008754,Monk,경헌,mentions,,,,O,O
Entry,E008754,Event,설담이 경헌을 만남,mentions,,,,O,O
Entry,E008755,Place,청림촌,mentions,,,,O,O
Entry,E008755,Temple,부안 실상사,mentions,,,,O,O
Entry,E008755,Temple,청림사,mentions,,,,O,O
Entry,E008756,Place,금강연,mentions,,,,O,O
Entry,E008757,Temple,부안 실상사,mentions,,,,O,O
Entry,E008757,Place,사자항,mentions,,,,O,O
Entry,E008758,Place,삼폭포,mentions,,,,O,O
Entry,E008759,Temple,부안 월명암,mentions,,,,O,O
Entry,E008760,Temple,등운암,mentions,,,,O,O
Entry,E008760,Temple,묘적암,mentions,,,,O,O
Entry,E008760,Monk,무가,mentions,,,,O,O
Entry,E008760,Temple,법왕대,mentions,,,,O,O
Entry,E008760,Monk,부설,mentions,,,,O,O
Entry,E008760,Temple,하동 칠불암,mentions,,,,O,O
Entry,E008760,Temple,함양 무주암,mentions,,,,O,O
Entry,E008761,Temple,월정대,mentions,,,,O,O
Entry,E008761,Person,김진상,mentions,,,,O,O
Entry,E008761,Place,월출산,mentions,,,,O,O
Entry,E008761,Place,승달산,mentions,,,,O,O
Entry,E008762,Temple,부안 실상사,mentions,,,,O,O
Entry,E008763,Place,직연폭포,mentions,,,,O,O
Entry,E008764,Temple,남암,mentions,,,,O,O
Entry,E008764,Temple,부안 내소사,mentions,,,,O,O
Entry,E008765,Temple,부안 사자암,mentions,,,,O,O
Entry,E008765,Monk,명간,mentions,,,,O,O
Entry,E008765,Temple,왕자암,mentions,,,,O,O
Entry,E008765,Temple,석자암,mentions,,,,O,O
Entry,E008765,Monk,진표,mentions,,,,O,O
Entry,E008765,Place,부풍현,mentions,,,,O,O
Entry,E008765,Place,칠룡묘,mentions,,,,O,O
Entry,E008765,Place,각궁시,mentions,,,,O,O
Entry,E008765,Temple,김제 금산사,mentions,,,,O,O
Entry,E008765,Temple,비장암,mentions,,,,O,O
Entry,E008765,Event,설담이 명간을 만남,mentions,,,,O,O
Entry,E008765,Anecdote,진표 율사 일화,mentions,,,,O,O
Entry,E008766,Temple,벽송대,mentions,,,,O,O
Entry,E008766,Monk,벽송 지엄,mentions,,,,O,O
Entry,E008767,Temple,취연대,mentions,,,,O,O
Entry,E008767,Place,선운산,mentions,,,,O,O
Entry,E008767,Place,소요산,mentions,,,,O,O
Entry,E008767,Place,백양산,mentions,,,,O,O
Entry,E008767,Person,소응천,mentions,,,,O,O
Entry,E008768,Temple,부안 내소사,mentions,,,,O,O
Entry,E008768,Monk,서봉 청민,mentions,,,,O,O
Entry,E008768,Person,각민,mentions,,,,O,O
Entry,E008768,Event,내소사 화재,mentions,,,,O,O
Entry,E008768,Event,서봉 청민이 내소사를 중건함,mentions,,,,O,O
Entry,E008769,Place,검진,mentions,,,,O,O
Entry,E008769,Monk,서량,mentions,,,,O,O
Entry,E008769,Event,설담이 서량을 만남,mentions,,,,O,O
Entry,E008770,Person,황윤석,mentions,,,,O,O
Entry,E008770,Event,설담이 황윤석을 만남,mentions,,,,O,O
Entry,E008770,Place,구수골,mentions,,,,O,O
Entry,E008771,Temple,구월암,mentions,,,,O,O
Entry,E008772,Place,개심령,mentions,,,,O,O
Entry,E008772,Place,내장산,mentions,,,,O,O
Entry,E008773,Place,하서 선생 수장,mentions,,,,O,O
Entry,E008773,Place,자포곡,mentions,,,,O,O
Entry,E008773,Person,백광훈 이손,mentions,,,,O,O
Entry,E008773,Person,주지번,mentions,,,,O,O
Entry,E008773,Event,설담이 백광훈의 이손(耳孫)을 만남,mentions,,,,O,O
Entry,E008774,Place,백양산 청류동,mentions,,,,O,O
Entry,E008774,Monk,학봉,mentions,,,,O,O
Entry,E008775,Temple,동암 청심대,mentions,,,,O,O
Entry,E008776,Temple,장성 운문암,mentions,,,,O,O
Entry,E008776,Monk,이봉 희영,mentions,,,,O,O
Entry,E008776,Monk,시경,mentions,,,,O,O
Entry,E008776,Event,설담이 이봉 희영과 시경을 만남,mentions,,,,O,O
Entry,E008777,Temple,장성 백양사 백련암,mentions,,,,O,O
Entry,E008777,Temple,장성 백양사 영천암,mentions,,,,O,O
Entry,E008777,Temple,장성 백양사 약사암,mentions,,,,O,O
Entry,E008777,Temple,장성 백양사 물외암,mentions,,,,O,O
Entry,E008777,Event,"설담이 영천암, 약사암, 물외암 풍경을 감상함",mentions,,,,O,O
Entry,E008778,Temple,장성 백양사 쌍계루,mentions,,,,O,O
Entry,E008778,Monk,소요 태능,mentions,,,,O,O
Entry,E008778,Event,설담이 소요대사 영정에 참배함,mentions,,,,O,O
Entry,E008778,Event,설담이 쌍계루 현판을 감상함,mentions,,,,O,O
Entry,E008779,Temple,장성 백양사 향각,mentions,,,,O,O
Entry,E008779,Monk,소요 태능,mentions,,,,O,O
Entry,E008779,Event,설담이 소요대사 필적을 감상함,mentions,,,,O,O
Entry,E008780,Temple,장성 천진암,mentions,,,,O,O
Entry,E008780,Monk,환월 민숙,mentions,,,,O,O
Entry,E008780,Event,설담이 환월 민숙을 만남,mentions,,,,O,O
Entry,E008781,Place,칠립리,mentions,,,,O,O
Entry,E008781,Person,이고,mentions,,,,O,O
Entry,E008781,Event,설담이 이고를 위문함,mentions,,,,O,O
Entry,E008782,Place,천치,mentions,,,,O,O
Entry,E008783,Place,온계,mentions,,,,O,O
Entry,E008784,Temple,순창 강천사,mentions,,,,O,O
Event,설담이 다섯 승려의 배웅을 받아 떠남,Temple,순창 법운암,occursAt,,,,O,O
Event,설담이 다섯 승려의 배웅을 받아 떠남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 다섯 승려의 배웅을 받아 떠남,Monk,기,isRelatedTo,,,,O,O
Event,설담이 다섯 승려의 배웅을 받아 떠남,Monk,우,isRelatedTo,,,,O,O
Event,설담이 다섯 승려의 배웅을 받아 떠남,Monk,총,isRelatedTo,,,,O,O
Event,설담이 다섯 승려의 배웅을 받아 떠남,Monk,혜,isRelatedTo,,,,O,O
Event,설담이 다섯 승려의 배웅을 받아 떠남,Monk,정,isRelatedTo,,,,O,O
Event,설담이 두월 묵안을 만남,Temple,정읍 상두사,occursIn,,,,O,O
Event,설담이 두월 묵안을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 두월 묵안을 만남,Monk,두월 묵안,isRelatedTo,,,,O,O
Event,설담이 하안거를 지냄_1,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 하안거를 지냄_1,Temple,김제 금산사,occursIn,,,,O,O
Event,설담이 낙파 회랭을 만남,Temple,감로암,occursIn,,,,O,O
Event,설담이 낙파 회랭을 만남,Monk,낙파 회랭,isRelatedTo,,,,O,O
Event,설담이 낙파 회랭을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 벽월 우일을 만남,Temple,은격암,occursIn,,,,O,O
Event,설담이 벽월 우일을 만남,Monk,벽월 우일,isRelatedTo,,,,O,O
Event,설담이 벽월 우일을 만남,Monk,설담 자우,occursIn,,,,O,O
Event,설담이 두월 묵안과 경기전을 구경함,Place,전주 경기전,occursIn,,,,O,O
Event,설담이 두월 묵안과 경기전을 구경함,Monk,두월 묵안,isRelatedTo,,,,O,O
Event,설담이 두월 묵안과 경기전을 구경함,Monk,설담 자우,isRelatedTo,,,,O,O
Anecdote,원효암·의상암·윤필암 일화,Temple,완주 화암사,occursIn,,,,O,O
Anecdote,원효암·의상암·윤필암 일화,Monk,원효,isRelatedTo,,,,O,O
Anecdote,원효암·의상암·윤필암 일화,Monk,의상,isRelatedTo,,,,O,O
Anecdote,원효암·의상암·윤필암 일화,Monk,윤필,isRelatedTo,,,,O,O
Anecdote,성달생 일화,Person,성달생,isRelatedTo,,,,O,O
Anecdote,성달생 일화,Temple,완주 화암사,occursIn,,,,O,O
Event,설담이 우화루 관음상에 참배함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 우화루 관음상에 참배함,Temple,완주 화암사 우화루,occursIn,,,,O,O
Object,관음상,Temple,완주 화암사 우화루,isLocatedIn,,,,O,O
Object,삼세여래상,Temple,완주 대둔암,isLocatedIn,,,,O,O
Event,설담이 도희와 대순을 만남,Temple,완주 화암사 향각,occursIn,,,,O,O
Event,설담이 도희와 대순을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 도희와 대순을 만남,Monk,도희,isRelatedTo,,,,O,O
Event,설담이 도희와 대순을 만남,Monk,대순,isRelatedTo,,,,O,O
Event,설담이 금하 광훈에게 다과를 대접받음,Temple,완주 화암사 윤필암,occursIn,,,,O,O
Event,설담이 금하 광훈에게 다과를 대접받음,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 금하 광훈에게 다과를 대접받음,Monk,금하 광훈,isRelatedTo,,,,O,O
Event,설담이 춘파 상운의 배웅을 받아 떠남,Temple,완주 화암사 신실,occursIn,,,,O,O
Event,설담이 춘파 상운의 배웅을 받아 떠남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 춘파 상운의 배웅을 받아 떠남,Monk,춘파 상운,isRelatedTo,,,,O,O
Event,설담이 세조 친필을 감상함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 세조 친필을 감상함,Temple,완주 안심사 향각,occursIn,,,,O,O
Event,설담이 종연을 만남,Temple,완주 안심사 향각,occursIn,,,,O,O
Event,설담이 종연을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 종연을 만남,Monk,종연,isRelatedTo,,,,O,O
Anecdote,성달생 일화,Temple,득모암,occursIn,,,,O,O
Event,설담이 성월 천일을 만남,Temple,완주 대둔암,occursIn,,,,O,O
Event,설담이 성월 천일을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 성월 천일을 만남,Monk,성월 천일,isRelatedTo,,,,O,O
Event,설봉 회정의 다비식,Monk,설봉 회정,isRelatedTo,,,,O,O
Event,설봉 회정의 다비식,Time,1738년,occursIn,,,,O,O
Work,SD0088,Event,설봉 회정의 다비식,mentions,,,,O,O
Event,설담이 하안거를 지냄_2,Temple,영암 도갑사,occursIn,,,,O,O
Event,설담이 하안거를 지냄_2,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 맹명씨를 만남,Temple,대은암,occursIn,,,,O,O
Event,설담이 맹명씨를 만남,Person,맹명씨,isRelatedTo,,,,O,O
Event,설담이 맹명씨를 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 서봉 명색을 만남,Temple,완주 신흥사,occursIn,,,,O,O
Event,설담이 서봉 명색을 만남,Monk,서봉 명색,isRelatedTo,,,,O,O
Event,설담이 서봉 명색을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 반룡 처원과 차담을 나눔,Temple,운문사 서굴,occursIn,,,,O,O
Event,설담이 반룡 처원과 차담을 나눔,Monk,반룡 처원,isRelatedTo,,,,O,O
Event,설담이 반룡 처원과 차담을 나눔,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 사오로 화상을 구경함,Temple,내둔암,occursIn,,,,O,O
Object,사오로 화상,Temple,내둔암,isLocatedIn,,,,O,O
Event,설담이 사오로 화상을 구경함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 채근을 만남,Temple,북암,occursIn,,,,O,O
Event,설담이 채근을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 채근을 만남,Monk,채근,isRelatedTo,,,,O,O
Event,설담이 청파 혜원과 긍현을 만남,Temple,완주 송광사,occursIn,,,,O,O
Event,설담이 청파 혜원과 긍현을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 청파 혜원과 긍현을 만남,Monk,청파 혜원,isRelatedTo,,,,O,O
Event,설담이 청파 혜원과 긍현을 만남,Monk,긍현,isRelatedTo,,,,O,O
Event,설담이 박영의 집에 방문함,Place,시산,occursIn,,,,O,O
Event,설담이 박영의 집에 방문함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 박영의 집에 방문함,Person,박영,isRelatedTo,,,,O,O
Event,설담이 피향정의 시를 감상함,Place,피향정,occursIn,,,,O,O
Event,설담이 피향정의 시를 감상함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 김유옥과 그 문하를 방문함,Place,고부 마항리,occursIn,,,,O,O
Event,설담이 김유옥과 그 문하를 방문함,Person,김유옥,isRelatedTo,,,,O,O
Event,설담이 김유옥과 그 문하를 방문함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 한계 성순을 만남,Place,부안 개암사,occursIn,,,,O,O
Event,설담이 한계 성순을 만남,Monk,한계 성순,isRelatedTo,,,,O,O
Event,설담이 한계 성순을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,흥파 지순의 죽음,Temple,부안 도솔암,occursIn,,,,O,O
Event,설담이 경헌을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 경헌을 만남,Temple,우금굴,occursIn,,,,O,O
Event,설담이 경헌을 만남,Monk,경헌,isRelatedTo,,,,O,O
Event,설담이 명간을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 명간을 만남,Temple,부안 사자암,occursIn,,,,O,O
Event,설담이 명간을 만남,Monk,명간,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Monk,진표,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Place,칠룡묘,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Temple,김제 금산사,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Place,각궁시,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Temple,기족암,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Temple,비장암,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Record,진록사전,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Anecdote,고달사 창건 설화,isRelatedTo,,,,O,O
Anecdote,진표 율사 일화,Anecdote,우렁각시 설화,isRelatedTo,,,,O,O
Event,설담이 서량을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 서량을 만남,Place,검진,occursIn,,,,O,O
Event,설담이 서량을 만남,Monk,서량,isRelatedTo,,,,O,O
Event,설담이 황윤석을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 황윤석을 만남,Place,구수골,occursIn,,,,O,O
Event,설담이 황윤석을 만남,Person,황윤석,isRelatedTo,,,,O,O
Event,설담이 백광훈의 이손(耳孫)을 만남,Person,백광훈 이손,isRelatedTo,,,,O,O
Event,설담이 백광훈의 이손(耳孫)을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 백광훈의 이손(耳孫)을 만남,Place,자포곡,occursIn,,,,O,O
Event,설담이 이봉 희영과 시경을 만남,Temple,장성 운문암,occursIn,,,,O,O
Event,설담이 이봉 희영과 시경을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 이봉 희영과 시경을 만남,Monk,이봉 희영,isRelatedTo,,,,O,O
Event,설담이 이봉 희영과 시경을 만남,Monk,시경,isRelatedTo,,,,O,O
Event,"설담이 영천암, 약사암, 물외암 풍경을 감상함",Monk,설담 자우,isRelatedTo,,,,O,O
Event,"설담이 영천암, 약사암, 물외암 풍경을 감상함",Temple,장성 백양사 백련암,occursIn,,,,O,O
Event,설담이 소요대사 영정에 참배함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 소요대사 영정에 참배함,Temple,장성 백양사,occursIn,,,,O,O
Event,설담이 소요대사 영정에 참배함,Monk,소요 태능,isRelatedTo,,,,O,O
Event,설담이 쌍계루 현판을 감상함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 쌍계루 현판을 감상함,Temple,장성 백양사 쌍계루,occursIn,,,,O,O
Event,설담이 소요대사 필적을 감상함,Temple,장성 백양사 향각,occursIn,,,,O,O
Event,설담이 소요대사 필적을 감상함,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 소요대사 필적을 감상함,Monk,소요 태능,isRelatedTo,,,,O,O
Event,설담이 환월 민숙을 만남,Temple,장성 천진암,occursIn,,,,O,O
Event,설담이 환월 민숙을 만남,Monk,설담 자우,isRelatedTo,,,,O,O
Event,설담이 환월 민숙을 만남,Monk,환월 민숙,isRelatedTo,,,,O,O
Event,설담이 이고를 위문함,Place,칠립리,occursIn,,,,O,O
Event,설담이 이고를 위문함,Monk,설담 자우,isRelatedTo,,,,O,O
Record,서역중화해동불조원류,Temple,완주 송광사,isPublishedIn,,,,O,O
Record,서역중화해동불조원류,Time,1764년,isPublishedAt,,,,O,O
Event,불조원류 간행,Temple,완주 송광사,occursIn,,,,O,O
Event,불조원류 간행,Time,1764년,occursAt,,,,O,O
Event,불조원류 간행,Record,서역중화해동불조원류,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,해월 경율,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,금하 광훈,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,궤능,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,대붕,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,월영 대찰,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,풍계 도선,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,두활,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,민익,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,사선,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,상린,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,춘파 상운,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,연곡 선수,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,선찰,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,정성 성심,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,순행,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,옥종,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,월하 자휘,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,정원,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,정현,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,벽하 지탄,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,찬우,isRelatedTo,,,,O,O
Event,불조원류 간행,Monk,사암 채영,isRelatedTo,,,,O,O
