source class,source id,target class,target id,relation,relation attribute,note,remark,S_check,T_Check
Work,SD0087,Journey,J17630925,contains,,,,O,O
Work,SD0087,Journey,J17630926,contains,,,,O,O
Work,SD0087,Journey,J17630927,contains,,,,O,O
Work,SD0087,Entry,E008701,contains,,,,O,O
Work,SD0087,Entry,E008702,contains,,,,O,O
Work,SD0087,Entry,E008703,contains,,,,O,O
Work,SD0087,Entry,E008704,contains,,,,O,O
Work,SD0087,Entry,E008705,contains,,,,O,O
Work,SD0087,Entry,E008706,contains,,,,O,O
Work,SD0087,Entry,E008707,contains,,,,O,O
Work,SD0087,Entry,E008708,contains,,,,O,O
Work,SD0087,Entry,E008709,contains,,,,O,O
Work,SD0087,Entry,E008710,contains,,,,O,O
Work,SD0087,Entry,E008711,contains,,,,O,O
Work,SD0087,Entry,E008712,contains,,,,O,O
Work,SD0087,Entry,E008713,contains,,,,O,O
Work,SD0087,Entry,E008714,contains,,,,O,O
Work,SD0087,Entry,E008715,contains,,,,O,O
Work,SD0087,Entry,E008716,contains,,,,O,O
Work,SD0087,Entry,E008717,contains,,,,O,O
Work,SD0087,Entry,E008718,contains,,,,O,O
Work,SD0087,Entry,E008719,contains,,,,O,O
Work,SD0087,Entry,E008720,contains,,,,O,O
Work,SD0087,Entry,E008721,contains,,,,O,O
Work,SD0087,Entry,E008722,contains,,,,O,O
Work,SD0087,Entry,E008723,contains,,,,O,O
Work,SD0087,Entry,E008724,contains,,,,O,O
Work,SD0087,Entry,E008725,contains,,,,O,O
Work,SD0087,Entry,E008726,contains,,,,O,O
Work,SD0087,Entry,E008727,contains,,,,O,O
Work,SD0087,Entry,E008728,contains,,,,O,O
Work,SD0087,Entry,E008729,contains,,,,O,O
Work,SD0087,Entry,E008730,contains,,,,O,O
Work,SD0087,Entry,E008731,contains,,,,O,O
Work,SD0087,Entry,E008732,contains,,,,O,O
Work,SD0087,Entry,E008733,contains,,,,O,O
Work,SD0087,Entry,E008734,contains,,,,O,O
Work,SD0087,Entry,E008735,contains,,,,O,O
Work,SD0087,Entry,E008736,contains,,,,O,O
Work,SD0087,Entry,E008737,contains,,,,O,O
Work,SD0087,Entry,E008738,contains,,,,O,O
Work,SD0087,Entry,E008739,contains,,,,O,O
Work,SD0087,Entry,E008740,contains,,,,O,O
Work,SD0087,Entry,E008741,contains,,,,O,O
Work,SD0087,Entry,E008742,contains,,,,O,O
Work,SD0087,Entry,E008743,contains,,,,O,O
Work,SD0087,Entry,E008744,contains,,,,O,O
Work,SD0087,Entry,E008745,contains,,,,O,O
Work,SD0087,Entry,E008746,contains,,,,O,O
Work,SD0087,Entry,E008747,contains,,,,O,O
Work,SD0087,Entry,E008748,contains,,,,O,O
Work,SD0087,Entry,E008749,contains,,,,O,O
Work,SD0087,Entry,E008750,contains,,,,O,O
Work,SD0087,Entry,E008751,contains,,,,O,O
Work,SD0087,Entry,E008752,contains,,,,O,O
Work,SD0087,Entry,E008753,contains,,,,O,O
Work,SD0087,Entry,E008754,contains,,,,O,O
Work,SD0087,Entry,E008755,contains,,,,O,O
Work,SD0087,Entry,E008756,contains,,,,O,O
Work,SD0087,Entry,E008757,contains,,,,O,O
Work,SD0087,Entry,E008758,contains,,,,O,O
Work,SD0087,Entry,E008759,contains,,,,O,O
Work,SD0087,Entry,E008760,contains,,,,O,O
Work,SD0087,Entry,E008761,contains,,,,O,O
Work,SD0087,Entry,E008762,contains,,,,O,O
Work,SD0087,Entry,E008763,contains,,,,O,O
Work,SD0087,Entry,E008764,contains,,,,O,O
Work,SD0087,Entry,E008765,contains,,,,O,O
Work,SD0087,Entry,E008766,contains,,,,O,O
Work,SD0087,Entry,E008767,contains,,,,O,O
Work,SD0087,Entry,E008768,contains,,,,O,O
Work,SD0087,Entry,E008769,contains,,,,O,O
Work,SD0087,Entry,E008770,contains,,,,O,O
Work,SD0087,Entry,E008771,contains,,,,O,O
Work,SD0087,Entry,E008772,contains,,,,O,O
Work,SD0087,Entry,E008773,contains,,,,O,O
Work,SD0087,Entry,E008774,contains,,,,O,O
Work,SD0087,Entry,E008775,contains,,,,O,O
Work,SD0087,Entry,E008776,contains,,,,O,O
Work,SD0087,Entry,E008777,contains,,,,O,O
Work,SD0087,Entry,E008778,contains,,,,O,O
Work,SD0087,Entry,E008779,contains,,,,O,O
Work,SD0087,Entry,E008780,contains,,,,O,O
Work,SD0087,Entry,E008781,contains,,,,O,O
Work,SD0087,Entry,E008782,contains,,,,O,O
Work,SD0087,Entry,E008783,contains,,,,O,O
Work,SD0087,Entry,E008784,contains,,,,O,O
Work,SD0087,Entry,E008785,contains,,,,O,O
Journey,J17630827,Entry,E008702,contains,,,,O,O
Journey,J17630827,Entry,E008703,contains,,,,O,O
Journey,J17630829,Entry,E008704,contains,,,,O,O
Journey,J17630829,Entry,E008705,contains,,,,O,O
Journey,J17630830,Entry,E008706,contains,,,,O,O
Journey,J17630901,Entry,E008707,contains,,,,O,O
Journey,J17630901,Entry,E008708,contains,,,,O,O
Journey,J17630901,Entry,E008709,contains,,,,O,O
Journey,J17630901,Entry,E008710,contains,,,,O,O
Journey,J17630902,Entry,E008711,contains,,,,O,O
Journey,J17630902,Entry,E008712,contains,,,,O,O
Journey,J17630902,Entry,E008713,contains,,,,O,O
Journey,J17630903,Entry,E008714,contains,,,,O,O
Journey,J17630903,Entry,E008715,contains,,,,O,O
Journey,J17630904,Entry,E008716,contains,,,,O,O
Journey,J17630904,Entry,E008717,contains,,,,O,O
Journey,J17630904,Entry,E008718,contains,,,,O,O
Journey,J17630904,Entry,E008719,contains,,,,O,O
Journey,J17630904,Entry,E008720,contains,,,,O,O
Journey,J17630904,Entry,E008721,contains,,,,O,O
Journey,J17630905,Entry,E008722,contains,,,,O,O
Journey,J17630905,Entry,E008723,contains,,,,O,O
Journey,J17630905,Entry,E008724,contains,,,,O,O
Journey,J17630905,Entry,E008725,contains,,,,O,O
Journey,J17630905,Entry,E008726,contains,,,,O,O
Journey,J17630905,Entry,E008727,contains,,,,O,O
Journey,J17630905,Entry,E008728,contains,,,,O,O
Journey,J17630905,Entry,E008729,contains,,,,O,O
Journey,J17630905,Entry,E008730,contains,,,,O,O
Journey,J17630906,Entry,E008731,contains,,,,O,O
Journey,J17630906,Entry,E008732,contains,,,,O,O
Journey,J17630906,Entry,E008733,contains,,,,O,O
Journey,J17630907,Entry,E008734,contains,,,,O,O
Journey,J17630907,Entry,E008735,contains,,,,O,O
Journey,J17630909,Entry,E008736,contains,,,,O,O
Journey,J17630909,Entry,E008737,contains,,,,O,O
Journey,J17630910,Entry,E008738,contains,,,,O,O
Journey,J17630910,Entry,E008739,contains,,,,O,O
Journey,J17630911,Entry,E008740,contains,,,,O,O
Journey,J17630911,Entry,E008741,contains,,,,O,O
Journey,J17630911,Entry,E008742,contains,,,,O,O
Journey,J17630912,Entry,E008743,contains,,,,O,O
Journey,J17630912,Entry,E008744,contains,,,,O,O
Journey,J17630912,Entry,E008745,contains,,,,O,O
Journey,J17630913,Entry,E008746,contains,,,,O,O
Journey,J17630913,Entry,E008747,contains,,,,O,O
Journey,J17630914,Entry,E008748,contains,,,,O,O
Journey,J17630915,Entry,E008749,contains,,,,O,O
Journey,J17630917,Entry,E008750,contains,,,,O,O
Journey,J17630917,Entry,E008751,contains,,,,O,O
