id,class,prefLabel(ko),prefLabel(zh-hant),birthDate,deathDate,otherName,sokmyeong,note
운봉 영우,Monk,운봉 영우,雲峯靈祐,,,,,
운파 의준,Monk,운파 의준,雲坡義俊,,,,,
삼경 철관,Monk,삼경 철관,三更哲關,,,,,
풍담 의심,Monk,풍담 의심,楓潭義諶,1592년,1665년,,유씨(柳氏),
월저 도안,Monk,월저 도안,月渚道安,1638년,1715년,,유씨(劉氏),
설암 추붕,Monk,설암 추붕,雪岩秋鵬,1651년,1706년,,김씨(金氏),
벽허 원조,Monk,벽허 원조,碧虛圓照,1658년,1735년,,,
영허 성준,Monk,영허 성준,靈虛性俊,,,,,
금파 행우,Monk,금파 행우,錦波幸祐,,,,,
금파 일영,Monk,금파 일영,金坡日映,,,,,
용암 해화,Monk,용암 해화,龍嵓海華,,,,,
월담 설제,Monk,월담 설제,月潭雪霽,1632년,1704년,,,
환성 지안,Monk,환성 지안,喚惺志安,1664년,1729년,,정씨(鄭氏),
호암 체정,Monk,호암 체정,虎巖體淨,1687년,1748년,,김씨(金氏),
금계 원우,Monk,금계 원우,錦溪元宇,,,,,
설봉 관성,Monk,설봉 관성,雪峰寛性,,,,,
함영 쌍규,Monk,함영 쌍규,涵影雙奎,,,,,
운파 현신,Monk,운파 현신,雲坡玄信,,,,,
상봉 정원,Monk,상봉 정원,霜峯淨源,1627년,1709년,,,
월파 태눌,Monk,월파 태눌,月波泰訥,,,,,
환암 선흠,Monk,환암 선흠,幻菴善欽,,,,,
보월 한웅,Monk,보월 한웅,寶月漢雄,,,,,
청하 삼인,Monk,청하 삼인,靑霞三印,,,,,
취봉 보청,Monk,취봉 보청,就峯寶淸,,,,,
선월 축습,Monk,선월 축습,船月竺什,,,,,
환월 처준,Monk,환월 처준,幻月處俊,,,,,
홍파 인형,Monk,홍파 인형,泓波印浻,,,,,
현은 형오,Monk,현은 형오,玄隱浻悟,,,,,
추월 인호,Monk,추월 인호,秋月印湖,,,,,
완허 청안,Monk,완허 청안,玩虛淸眼,,,,,
취운 종일,Monk,취운 종일,醉雲宗一,,,,,
수월 사순,Monk,수월 사순,水月思順,,,,,
송곡 대총,Monk,송곡 대총,松谷大叢,,,,,
정허 쾌민,Monk,정허 쾌민,靜虛快敏,,,,,
진곡 취일,Monk,진곡 취일,震谷就一,,,,,
환봉 묵혜,Monk,환봉 묵혜,換峯默慧,,,,,
고송 회경,Monk,고송 회경,古松懷瓊,,,,,
휴암 최한,Monk,휴암 최한,休菴最閑,,,최한(休菴最閒),,
총혜,Monk,총혜,聰慧,,,,,
내선,Monk,내선,來璿,,,,,
여천,Monk,여천,呂天,,,,,
제월 수일,Monk,제월 수일,霽月守一,,,,,
